actor,character,season,episode
DeForest Kelley,Dr. McCoy,3,11
Kathie Browne,Deela,3,11
Jason Evers,Rael,3,11
James Doohan,Scott,3,11
George Takei,Sulu,3,11
Nichelle Nichols,Uhura,3,11
Majel Barrett,Nurse Christine Chapel,3,11
Erik Holland,Ekor,3,11
Geoffrey Binney,Compton,3,11
Bill Blackburn,Lt. Hadley (uncredited),3,11
Dick Geary,Scalosian,3,11
Dick Geary,Security Guard #1 (uncredited),3,11
Eddie Hice,Security Guard #2 (uncredited),3,11
Roger Holloway,Lt. Lemli (uncredited),3,11
Jay D. Jones,Engineer (uncredited),3,11
Jeannie Malone,Yeoman (uncredited),3,11
William Shatner,Captain James T. Kirk,3,12
Leonard Nimoy,Mr. Spock,3,12
DeForest Kelley,Dr. McCoy,3,12
Kathryn Hays,Gem,3,12
Alan Bergmann,Lal,3,12
James Doohan,Scott,3,12
George Takei,Sulu,3,12
Davis Roberts,Dr. Ozaba,3,12
Jason Wingreen,Dr. Linke,3,12
Willard Sage,Thann,3,12
Bill Blackburn,Lt. Hadley (uncredited),3,12
Dick Geary,Security Guard (uncredited),3,12
Roger Holloway,Lt. Lemli (uncredited),3,12
William Shatner,Captain James T. Kirk,3,13
Leonard Nimoy,Mr. Spock,3,13
DeForest Kelley,Dr. McCoy,3,13
France Nuyen,Elaan,3,13
Jay Robinson,Lord Petri,3,13
Tony Young,Kryton,3,13
James Doohan,Scott,3,13
Nichelle Nichols,Uhura,3,13
George Takei,Sulu,3,13
Walter Koenig,Chekov,3,13
Majel Barrett,Nurse Christine Chapel,3,13
Lee Duncan,Evans,3,13
Victor Brandt,Watson,3,13
Dick Durock,Elasian Guard #1,3,13
Charles Beck,Elasian Guard #2,3,13
K.L. Smith,Klingon,3,13
Hal Baylor,Guard (uncredited),3,13
Bill Blackburn,Lt. Hadley (uncredited),3,13
Frank da Vinci,Transporter Operator (uncredited),3,13
Roger Holloway,Lt. Lemli (uncredited),3,13
Jeannie Malone,Bridge Yeoman (uncredited),3,13
Eddie Paskey,Lt. Leslie (uncredited),3,13
William Shatner,Captain James T. Kirk,3,14
Leonard Nimoy,Mr. Spock,3,14
DeForest Kelley,Dr. McCoy,3,14
Steve Ihnat,Garth,3,14
Yvonne Craig,Marta,3,14
James Doohan,Scott,3,14
George Takei,Sulu,3,14
Nichelle Nichols,Uhura,3,14
Dick Geary,Andorian Inmate (as Richard Geary),3,14
Gary Downey,Tellarite Inmate,3,14
Keye Luke,Cory,3,14
Bill Blackburn,Lt. Hadley (uncredited),3,14
Frank da Vinci,Lt. Brent (uncredited),3,14
Roger Holloway,Lt. Lemli (uncredited),3,14
Jeannie Malone,Yeoman (uncredited),3,14
William Shatner,Captain James T. Kirk,3,15
Leonard Nimoy,Mr. Spock,3,15
DeForest Kelley,Dr. McCoy,3,15
Frank Gorshin,Bele,3,15
Lou Antonio,Lokai,3,15
James Doohan,Scott,3,15
Walter Koenig,Chekov,3,15
Nichelle Nichols,Uhura,3,15
George Takei,Sulu,3,15
Majel Barrett,Nurse Christine Chapel,3,15
Majel Barrett,Computer Voice,3,15
Bill Blackburn,Lt. Hadley (uncredited),3,15
Frank da Vinci,Lt. Brent (uncredited),3,15
Roger Holloway,Lt. Lemli (uncredited),3,15
Jeannie Malone,Yeoman (uncredited),3,15
William Shatner,Captain James T. Kirk,3,16
Leonard Nimoy,Mr. Spock,3,16
DeForest Kelley,Dr. McCoy,3,16
Sharon Acker,Odona Hodin,3,16
David Hurst,Ambassador Hodin,3,16
James Doohan,Scott,3,16
George Takei,Sulu,3,16
Nichelle Nichols,Uhura,3,16
Walter Koenig,Chekov,3,16
Gene Dynarski,Krodak,3,16
Richard Derr,Admiral Fitzgerald,3,16
Bill Blackburn,Gideon Inhabitant (uncredited),3,16
Frank da Vinci,Lt. Brent (uncredited),3,16
Jay D. Jones,Gideon Guard (uncredited),3,16
William Shatner,Captain James T. Kirk,3,17
Leonard Nimoy,Mr. Spock,3,17
DeForest Kelley,Dr. McCoy,3,17
Lee Meriwether,Losira,3,17
James Doohan,Scott,3,17
Arthur Batanides,"Lt. D'Amato, Geologist",3,17
George Takei,Sulu,3,17
Nichelle Nichols,Uhura,3,17
Naomi Pollack,Lt. Rahda,3,17
Booker Bradshaw,Dr. M'Benga,3,17
Brad Forrest,Ensign Wyatt,3,17
Kenneth Washington,Watkins,3,17
Bill Blackburn,Lt. Hadley (uncredited),3,17
Frank da Vinci,Lt. Brent (uncredited),3,17
Roger Holloway,Lt. Lemli (uncredited),3,17
Jeannie Malone,Yeoman (uncredited),3,17
William Shatner,Captain James T. Kirk,3,18
Leonard Nimoy,Mr. Spock,3,18
DeForest Kelley,Dr. McCoy,3,18
Jan Shutan,Lt. Mira Romaine,3,18
James Doohan,Scott,3,18
George Takei,Sulu,3,18
Walter Koenig,Chekov,3,18
Nichelle Nichols,Uhura,3,18
Majel Barrett,Nurse Christine Chapel,3,18
Majel Barrett,Computer Voice,3,18
John Winston,Lt. Kyle,3,18
Libby Erwin,Technician,3,18
Barbara Babcock,Zetar (voice),3,18
Bill Blackburn,Lt. Hadley (uncredited),3,18
Frank da Vinci,Crewman (uncredited),3,18
Roger Holloway,Lt. Lemli (uncredited),3,18
Jeannie Malone,Yeoman (uncredited),3,18
William Shatner,Captain James T. Kirk,3,19
Leonard Nimoy,Mr. Spock,3,19
DeForest Kelley,Dr. McCoy,3,19
James Daly,Flint,3,19
Louise Sorel,Rayna Kapec,3,19
James Doohan,Scott,3,19
Nichelle Nichols,Uhura,3,19
Bill Blackburn,Lt. Hadley (uncredited),3,19
Roger Holloway,Lt. Lemli (uncredited),3,19
Naomi Pollack,Lt. Rahda (uncredited),3,19
William Shatner,Captain James T. Kirk,3,20
Leonard Nimoy,Mr. Spock,3,20
DeForest Kelley,Dr. McCoy,3,20
Skip Homeier,Dr. Sevrin,3,20
Charles Napier,Adam,3,20
Mary Linda Rapelye,Irina Galliulin (as Mary-Linda Rapelye),3,20
James Doohan,Scott,3,20
Walter Koenig,Chekov,3,20
George Takei,Sulu,3,20
Majel Barrett,Nurse Christine Chapel,3,20
Victor Brandt,Tongo Rad,3,20
Elizabeth Rogers,Lt. Palmer,3,20
Deborah Downey,Girl #1,3,20
Phyllis Douglas,Girl #2,3,20
Bill Blackburn,Lt. Hadley (uncredited),3,20
Frank da Vinci,Lt. Brent (uncredited),3,20
James Drake,Sick-Bay Intern (uncredited),3,20
Roger Holloway,Lt. Lemli (uncredited),3,20
Jeannie Malone,Lieutenant (uncredited),3,20
Nichelle Nichols,Uhura (uncredited),3,20
William Shatner,Captain James T. Kirk,3,21
Leonard Nimoy,Mr. Spock,3,21
DeForest Kelley,Dr. McCoy,3,21
Jeff Corey,Plasus,3,21
Diana Ewing,Droxine,3,21
Charlene Polite,Vanna,3,21
James Doohan,Scott,3,21
Nichelle Nichols,Uhura,3,21
Kirk Raymond,Cloud Guard #1 (as Kirk Raymone),3,21
Jimmy Fields,Cloud Guard #2,3,21
Ed Long,Midro,3,21
Fred Williamson,Anka,3,21
Garth Pillsbury,Troglyte Prisoner,3,21
Harv Selsby,Cloud Guard #3,3,21
Bill Blackburn,Lt. Hadley (archive footage) (uncredited),3,21
Louie Elias,Troglyte #1 (uncredited),3,21
Dick Geary,Cloud City Sentinel #1 (uncredited),3,21
Jay D. Jones,Prisoner #2 (uncredited),3,21
Bob Miles,Cloud City Sentinel #2 (uncredited),3,21
Marvin Walters,Troglyte #2 (uncredited),3,21
William Shatner,Captain James T. Kirk,3,22
Leonard Nimoy,Mr. Spock,3,22
DeForest Kelley,Dr. McCoy,3,22
Lee Bergere,Lincoln,3,22
Barry Atwater,Surak,3,22
Phillip Pine,Col. Green,3,22
James Doohan,Scott,3,22
George Takei,Sulu,3,22
Nichelle Nichols,Uhura,3,22
Walter Koenig,Chekov,3,22
Arell Blanton,Chief Security Guard,3,22
Carol Daniels,Zora (as Carol Daniels DeMent),3,22
Bob Herron,Kahless (as Robert Herron),3,22
Nathan Jung,Ghengis Khan,3,22
Bill Blackburn,Lt. Hadley (uncredited),3,22
Roger Holloway,Lt. Lemli (uncredited),3,22
Bart La Rue,Yarnek (voice) (uncredited),3,22
Janos Prohaska,Yarnek (uncredited),3,22
William Shatner,Captain James T. Kirk,3,23
Leonard Nimoy,Mr. Spock,3,23
DeForest Kelley,Dr. McCoy,3,23
Mariette Hartley,Zarabeth,3,23
Ian Wolfe,Mr. Atoz,3,23
Kermit Murdock,The Prosecutor,3,23
Ed Bakey,The First Fop,3,23
James Doohan,Scott (voice),3,23
Anna Karen,Sarpeidon Mort,3,23
Albert Cavens,Second Fop (as Al Cavens),3,23
Stan Barrett,The Jailor,3,23
Johnny Haymer,The Constable,3,23
William Shatner,Captain James T. Kirk,3,24
William Shatner,Dr. Janice Lester,3,24
Leonard Nimoy,Mr. Spock,3,24
DeForest Kelley,Dr. McCoy,3,24
Sandra Smith,Dr. Janice Lester,3,24
Sandra Smith,Captain James T. Kirk,3,24
Harry Landers,Dr. Coleman,3,24
James Doohan,Scott,3,24
George Takei,Sulu,3,24
Walter Koenig,Chekov,3,24
Majel Barrett,Nurse Christine Chapel,3,24
Barbara Baldavin,Communications Officer,3,24
David L. Ross,Lt. Galoway,3,24
John Boyer,Guard,3,24
Bill Blackburn,Lt Hadley (uncredited),3,24
James Drake,Security Guard (uncredited),3,24
Roger Holloway,Lt. Lemli (uncredited),3,24
