actor,character,season,episode
Majel Barrett,Number One (archive footage) (as M. Leigh Hudec),1,11
Peter Duryea,Lt. José Tyler (archive footage),1,11
John Hoyt,Dr. Boyce (archive footage),1,11
Adam Roarke,C.P.O. Garrison (archive footage),1,11
DeForest Kelley,Dr. McCoy,1,11
James Doohan,Scott,1,11
Nichelle Nichols,Uhura,1,11
Sean Kenney,Injured Pike,1,11
Hagan Beggs,Lt. Hansen,1,11
Julie Parrish,Miss Piper,1,11
Bill Blackburn,Lt Hadley (uncredited),1,11
Tom Curtis,Jon Daily (uncredited),1,11
Frank da Vinci,Guard (uncredited),1,11
Brett Dunham,Guard (uncredited),1,11
Laurel Goodwin,J. M. Colt (archive footage) (uncredited),1,11
James Holt,Starfleet Officer (uncredited),1,11
Clegg Hoyt,Transporter Chief Pitcairn (archive footage) (uncredited),1,11
Anthony Jochim,Third Survivor (archive footage) (uncredited),1,11
Bob Johnson,Transporter Chief Pitcairn (voice) (uncredited),1,11
Jon Lormer,Dr. Theodore Haskins (archive footage) (uncredited),1,11
Tom Lupo,Security Guard (uncredited),1,11
Ed Madden,Enterprise Geologist (archive footage) (uncredited),1,11
Leonard Mudie,Second Survivor (archive footage) (uncredited),1,11
Eddie Paskey,Lt. Leslie (uncredited),1,11
Jan Reddin,Enterprise Court Recorder (uncredited),1,11
Serena Sande,Second Talosian (archive footage) (uncredited),1,11
George Sawaya,Chief Humboldt (uncredited),1,11
Georgia Schmidt,First Talosian (archive footage) (uncredited),1,11
Meg Wyllie,The Keeper (archive footage) (uncredited),1,11
William Shatner,Captain James T. Kirk,1,12
Leonard Nimoy,Mr. Spock (also archive footage),1,12
Jeffrey Hunter,Captain Christopher Pike (archive footage),1,12
Susan Oliver,Vina (archive footage),1,12
Malachi Throne,Commodore José Mendez,1,12
Majel Barrett,Number One (archive footage) (as M. Leigh Hudec),1,12
Peter Duryea,Lt. José Tyler (archive footage),1,12
John Hoyt,Dr. Boyce (archive footage),1,12
Laurel Goodwin,Yeoman J.M. Colt (archive footage),1,12
Adam Roarke,C.P.O. Garrison (archive footage),1,12
DeForest Kelley,Dr. McCoy (credit only),1,12
James Doohan,Scott (credit only),1,12
Nichelle Nichols,Uhura (voice),1,12
Sean Kenney,Injured Pike,1,12
Hagan Beggs,Lt. Hansen,1,12
Meg Wyllie,The Keeper (archive footage),1,12
Frank da Vinci,Lt. Clifford Brent (uncredited),1,12
Michael Dugan,The Kaylar (archive footage) (uncredited),1,12
Clegg Hoyt,Transporter Chief Pitcairn (archive footage) (uncredited),1,12
Anthony Jochim,Third Survivor (archive footage) (uncredited),1,12
Bob Johnson,First Talosian (voice) (archive footage) (uncredited),1,12
Jon Lormer,Dr. Theodore Haskins (archive footage) (uncredited),1,12
Tom Lupo,Security Guard (uncredited),1,12
Ed Madden,Enterprise Geologist (archive footage) (uncredited),1,12
Joseph Mell,Earth Trader (archive footage) (uncredited),1,12
Leonard Mudie,Second Survivor (archive footage) (uncredited),1,12
Eddie Paskey,Lt. Leslie (uncredited),1,12
Vic Perrin,The Keeper (voice) (uncredited),1,12
Robert Phillips,Space Officer (archive footage) (uncredited),1,12
Janos Prohaska,Anthropoid Ape (archive footage) (uncredited),1,12
Serena Sande,Second Talosian (archive footage) (uncredited),1,12
Georgia Schmidt,First Talosian (archive footage) (uncredited),1,12
Ron Veto,Harrison (uncredited),1,12
William Shatner,Captain James T. Kirk,1,13
Leonard Nimoy,Mr. Spock,1,13
Arnold Moss,Anton Karidian,1,13
Barbara Anderson,Lenore Karidian,1,13
DeForest Kelley,Dr. McCoy,1,13
Grace Lee Whitney,Yeoman Janice Rand,1,13
Nichelle Nichols,Uhura,1,13
William Sargent,Dr. Tom Leighton,1,13
Natalie Norwick,Martha Leighton,1,13
David Somerville,Larry Matson (as David-Troy),1,13
Karl Bruck,King Duncan,1,13
Marc Grady Adams,Hamlet (as Marc Adams),1,13
Bruce Hyde,Kevin Riley,1,13
Majel Barrett,Enterprise Computer (voice) (uncredited),1,13
Bill Blackburn,Lt Hadley (uncredited),1,13
Frank da Vinci,Crewman (uncredited),1,13
Robert H. Justman,Security Guard (voice) (uncredited),1,13
Jeannie Malone,Yeoman (uncredited),1,13
Eddie Paskey,Lt. Leslie (uncredited),1,13
Ron Veto,Security Guard (uncredited),1,13
William Shatner,Captain James T. Kirk,1,14
Leonard Nimoy,Mr. Spock,1,14
Mark Lenard,Romulan Commander,1,14
Paul Comi,Stiles,1,14
Lawrence Montaigne,Decius,1,14
DeForest Kelley,Dr. McCoy,1,14
Grace Lee Whitney,Yeoman Janice Rand,1,14
George Takei,Sulu,1,14
James Doohan,Scott,1,14
Nichelle Nichols,Uhura,1,14
Stephen Mines,Lt. Robert Tomlinson,1,14
Barbara Baldavin,Angela Martine,1,14
Garry Walberg,Commander Hansen,1,14
John Warburton,The Centurion,1,14
John Arndt,Ingenieur Fields (uncredited),1,14
Bill Blackburn,Hadley (uncredited),1,14
Robert Chadwick,Romulan Scanner Operator (uncredited),1,14
Frank da Vinci,Crewman (uncredited),1,14
Walt Davis,Romulan Crewman (uncredited),1,14
Vince Deadrick Sr.,Romulan Crewman (uncredited),1,14
Jeannie Malone,Yeoman (uncredited),1,14
Sean Morgan,Brenner (uncredited),1,14
Eddie Paskey,Lt. Leslie (uncredited),1,14
Anthony Larry Paul,Crewman (uncredited),1,14
Ron Veto,Crewman (uncredited),1,14
William Shatner,Captain James T. Kirk,1,15
Leonard Nimoy,Mr. Spock,1,15
Emily Banks,Tonia Barrows,1,15
Oliver McGowan,Caretaker,1,15
Perry Lopez,Lt. Esteban Rodriguez,1,15
DeForest Kelley,Dr. McCoy,1,15
George Takei,Sulu,1,15
Bruce Mars,Finnegan,1,15
Barbara Baldavin,Angela Martine,1,15
Nichelle Nichols,Uhura,1,15
Marcia Brown,Alice,1,15
Sebastian Tom,Warrior,1,15
Shirley Bonne,Ruth,1,15
Paul Baxley,Black Knight (uncredited),1,15
Bill Blackburn,White Rabbit (uncredited),1,15
John Carr,Guard (uncredited),1,15
Frank da Vinci,Lt. Brent (uncredited),1,15
Jim Gruzal,Don Juan (uncredited),1,15
Jeannie Malone,Yeoman (uncredited),1,15
Eddie Paskey,Lt. Leslie (uncredited),1,15
William Shatner,Captain James T. Kirk,1,16
Leonard Nimoy,Mr. Spock,1,16
Don Marshall,Boma,1,16
DeForest Kelley,Dr. McCoy,1,16
James Doohan,Scott,1,16
George Takei,Sulu,1,16
Nichelle Nichols,Uhura,1,16
John Crawford,Commissioner Ferris,1,16
Peter Marko,Gaetano,1,16
Phyllis Douglas,Yeoman Mears,1,16
Rees Vaughn,Lieutenant Latimer,1,16
Grant Woods,Lieutenant Kelowitz,1,16
Robert 'Big Buck' Maffei,Creature (as Buck Maffei),1,16
David L. Ross,Lt. Galloway (as David Ross),1,16
Majel Barrett,Enterprise Computer (voice) (uncredited),1,16
Bill Blackburn,Lt. Hadley (uncredited),1,16
Frank da Vinci,Lt. Brent (uncredited),1,16
